,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
40,MSFT230414P00297500,2023-04-06 19:57:21+00:00,297.5,7.45,7.2,7.5,-6.2,-45.421246,848.0,520.0,0.22144333251953124,True,REGULAR,USD
41,MSFT230414P00300000,2023-04-06 19:56:37+00:00,300.0,9.55,8.9,9.55,-6.2200003,-39.44198,632.0,417.0,0.2309647216796875,True,REGULAR,USD
42,MSFT230414P00302500,2023-04-06 19:58:04+00:00,302.5,11.5,10.9,12.6,-6.67,-36.708862,75.0,219.0,0.3147041186523437,True,REGULAR,USD
43,MSFT230414P00305000,2023-04-06 19:11:17+00:00,305.0,14.02,12.1,15.25,-5.379999,-27.731955,18.0,5.0,0.36646141357421874,True,REGULAR,USD
44,MSFT230414P00307500,2023-04-04 18:19:36+00:00,307.5,20.1,14.95,18.15,0.0,0.0,30.0,42.0,0.437505625,True,REGULAR,USD
45,MSFT230414P00310000,2023-04-06 19:25:38+00:00,310.0,18.56,17.2,20.6,-1.9400005,-9.463417,2.0,5.0,0.471684970703125,True,REGULAR,USD
46,MSFT230414P00315000,2023-03-30 17:24:21+00:00,315.0,33.1,22.5,25.55,0.0,0.0,,0.0,0.5397995239257813,True,REGULAR,USD
47,MSFT230414P00320000,2023-04-06 19:20:32+00:00,320.0,29.0,27.3,30.55,-1.3999996,-4.605262,35.0,0.0,0.6079140771484376,True,REGULAR,USD
48,MSFT230414P00325000,2023-03-22 18:03:24+00:00,325.0,47.11,31.95,35.55,0.0,0.0,,0.0,0.6728548339843752,True,REGULAR,USD
49,MSFT230414P00330000,2023-03-16 17:35:25+00:00,330.0,55.78,36.95,40.5,0.0,0.0,,0.0,0.7297390307617188,True,REGULAR,USD
50,MSFT230414P00335000,2023-04-05 19:21:01+00:00,335.0,51.0,41.95,45.55,0.0,0.0,2.0,1.0,0.5224657128906249,True,REGULAR,USD
51,MSFT230414P00350000,2023-03-07 19:53:11+00:00,350.0,96.28,56.95,60.55,0.0,0.0,,0.0,0.6528355029296876,True,REGULAR,USD
